"a mouse and house
met a house and a mouse",
"Out amongst the weeds
and the flipper-frill willows
We suddenly awoke
upon a green and brown pillow

Our heads were abuzz
with the wicker wisp tunes
As they danced from our bed
And back into the gloom

Their small little lanterns 
Had the hallow alight 
with the magic of Wompas 
the mysterious sprite

And but a moment later 
As if from a dream
Came that greying old bastard
In a flannel and jeans 

Now what do you want?
He boomed with a grin 
Do you know who I am?
He said stroking his chin

I’m Wompas the Fairy 
He quipped with a whistle
I dance with the trees
And sing with the thistle 

We’ve heard of the stories
I said with a start 
They say you grant wishes 
To those pure of heart

So we’ve come for your blessing
I continued to fumble
We just bought a beehive 
Whose genus is ‘Bumble’

They won’t make you honey 
He began with a laugh
 So what do you want 
From my ancient old ass

We wished for the health 
Of our bees in the end
We didn’t need honey 
We just wanted friends",
"I look to my brother, my twin,
suffering the same fate as I.
He commands us to part the ocean;
Moses, we need to be.
We have only our bodies, and
an endless deluge of water;
Sisyphus, we are.
We spend our days waiting for Him
to command us, slaves
to His desires. A necessity for Him,
an uncovering of His eyes.
Without us, He stays blind.
Loneliness is a terrible blindness.

And the ocean flows on, drowning
everything in its path.",
"As we leave the cream houses with red-tiled roofs
On the banks of the river Elbe
Dotted with gliding swans and moseying ducks,
The Gothic steeples towering over Meissen
Hearkening back to the days of ribbed vaults and
Resounding chants in minor keys,
The GPS lady develops a most atrocious
Case of laryngitis,
Starts choking and gravely regurgitating
Names with myriad guttural consonants

A young curmudgeon in the making,
You slam the brakes
Give the steering wheel a whack
And turn her off
―I don’t need a moronic machine
telling me what to do―
Rerouting onto a gravely country road,
You urge me to get outta the goddamn car
And check the cellphone signal.

A splotchy blood orange hovers in the sky
Squirting its crimson juices on the horizon.
Golden wheat stalks sway in the wind,
Brushing past my nose and sprinkling
Grains into my hair.
I’ve always been offended by plants
That have the audacity to grow
Taller than me

Having a vastly different bone to pick,
You whine
―We’ll never get to Bad Schandau at this rate―
Appalled at every slight alteration to your plans.
But maybe you’re a Bad Schandau for gracing us with
Your terrible navigation skills
And I’m a Bad Schandau for not helping.

When the syrupy ochre pancake rises in the sky,
I start cackling like a ludicrous lunatic,
Managing to blurt out
―Look, it’s a honey moon―
In between my wheezing teehees.
With a patronizing scowl,
You assure me that there will never be
A honeymoon,
I can just forget about it,
And that you’re sleeping in the car.

I lie down in the field,
Sinking into the crackling dry grass,
Gazing at this appetizing ceiling above
That looks like it’s dotted with vanilla sprinkles,
Realizing that I haven’t eaten since morning.

You know what…
Maybe it’s okay that we’re not
In Bad Schandau right now,
Because I kind of
Sort of
Forgot to make a hotel reservation anyway.",
"Away from home… and then all at once 
not. The midnight heart-to-heart

happened before we could let it.
You decaffeinated everyone else,

poached the elephant in the room,
each half of this conversation

existing only in our heads for months.
We texted once over Christmas break.  

You never pictured your bracelet changing hands,
its meaning spilled over, transferred to me.

Transferal to Boston, to block parties,
to living like your little brother.

To think of years spent on opposite shores
almost linked by two mutual friends then

finding out you were always looking out,
each little secret bundled up higher and higher.

Two decades as strangers eroded in months.
Landmark cigars and late-night 30 Rock. 

And then, lying beached on your bedroom floor
and the look of recognition on my car seat.

Walking back from the bar like middle-school 
friends, zigzagging from orexic laughter.

I drove home with one hand, the other miming
fullness, disbelief, thankfulness, somehow. ",
"did not know that my bones are icy cold,
that these blue strands across my skin are not
the veins that they appear to be but rather
barbed-wire, that digs and cuts its way into me.
He was surprised by my tear soaked eyes,
and by my skin, which was bruised by life’s needles—
boring their way through me, into my soul.

When moonlight glinted off my smile, fake like
his, he saw my broken body. His lips
fell and formed a little “oh.” I cried “go.”

And then I watched him fade away into
the dark, despairing night. He left without
a backwards glance
as he fled my sorry house.",
"Oooh noooo it’s a ghost
A cold, sexy
Hot lil ghost
Right here in my home

I’ll say your name 3 times 
So that you appear behind me
And give me that 
ghosty good good

And then I’ll climb up
Up under that dirty sheet
And let you slink around 
My haunted halls

No priest necessary 
Just me,
you,
And a whole lot of plasma",
"A red cover,
beaten, corners
no longer sharp,
holds a collection of poems
once visited by the ink
of my watchful pen.

Your hands held the same copy.
Your eyes devoured those same words
in pursuit of that right
combination of syllables— the ones
that would finally satiate your hunger.

Beside me in class,
you wrote notes in the margins of my copy
as I scribbled dreams in the blank spaces
between your stanzas. We never could fill
the gaps between us

so we left our story unfinished.

Now, your book sits
dusty and deserted
on the closet shelf.

You stumble across my memory
in the same way you stumble upon that
forgotten red book
when you’re looking
for something new to read.",
"They say you just rose out of
The marsh one day
With soggy overalls
And a wide-brimmed hat,
Salt crystallizing on your
Caterpillar-lookin’ eyebrows.
You blew your nose just a little
To get the algae out
And gave the world a crooked
Whiskey-stained grin.

The sun comes in through the
Weeping trees lined with
Spanish moss,
The rays landing right on
Your forearm.
You look down and
Flex your wrist,
Making the tattoo of the
Lobster-lookin thing move its
Pincers.
―It’s a crawdad―

You explain with a
Raspy croak,
As if this very distinction
Makes the world go round.

I never understood how you could
Live in such a
God-forsaken place,
Getting up before dawn
Just to go make clucking
Squawking noises
Out by the water,
Waiting until the herons
And egrets answer back.
How you collect
Broken banjo strings
And let them coil up in a jar
Because maybe one day
They’ll help you pick out
The sand granules
From between your teeth.

The air is oppressive

Steamy and wet,
Forming layers on my lungs.
Your soulful humming ceases
And your elbow jabs at my ribs.
―God-forsaken?!
No, my good fool―

You yank a dripping blade of
Grass with your calloused fingers
And hold it up.
―This is God’s sweat,
That white egret over there
Is an Angel,
And this is the closest to
Them you’ll ever get―

So when the sun sets
Over the morass and swamps
And the mosquitoes start
To swarm,
I know that I’ll still find you here,
Sloshing on the edge of
Paradise that’s

Sunken in the Delta.",
"Out amongst the weeds
and the flipper-frill willows
We suddenly awoke
upon a green and brown pillow

Our heads were abuzz
with the wicker wisp tunes
As they danced from our bed
And back into the gloom

Their small little lanterns 
Had the hallow alight 
with the magic of Wompas 
the mysterious sprite

And but a moment later 
As if from a dream
Came that greying old bastard
In a flannel and jeans 

Now what do you want?
He boomed with a grin 
Do you know who I am?
He said stroking his chin

I’m Wompas the Fairy 
He quipped with a whistle
I dance with the trees
And sing with the thistle 

We’ve heard of the stories
I said with a start 
They say you grant wishes 
To those pure of heart

So we’ve come for your blessing
I continued to fumble
We just bought a beehive 
Whose genus is ‘Bumble’

They won’t make you honey 
He began with a laugh
 So what do you want 
From my ancient old ass

We wished for the health 
Of our bees in the end
We didn’t need honey 
We just wanted friends",
"An ode to my grandmother
And her huge Sibley bird books:
Black-capped chickadees sing,
“Chick-a-dee-dee-dee, Sweet-ee”
As the conductor begins

To rouse an orchestra of
Songbirds into symphony,
It’s philharmonic flight.
“Jay-jay-jay” “Tut-tut” “Chirp-chirp”
Now her birdfeeder is a stage.

She points out first chair favorites -
Red-winged blackbirds pause to prune
Rounded ruby shoulders.
They’ve dressed sharply to perform
For us, captive concertgoers.

This is how we pass the hour,
Pulling guides off the shelf and
Spying a Schubert
Between the pages together.
“Mark the date with a pencil, love”",
